date,Area,Cases,Move,Perc Move,Day to Dbl,3d M/Avg,3d Perc Move,3d Days to Dbl,7d M/Avg,7d Perc Move,7d Days to Dbl
29-03-2020,CT-West,106,,,,,,,,,
31-03-2020,CT-West,118,12,11.3%,8.8,,,,,,
01-04-2020,CT-West,123,5,4.2%,23.6,,,,,,
02-04-2020,CT-West,124,1,0.8%,123.0, 6.0 ,4.9%, 20.5 ,,,
03-04-2020,CT-West,127,3,2.4%,41.3, 3.0 ,2.4%, 41.3 ,,,
04-04-2020,CT-West,130,3,2.4%,42.3, 2.3 ,1.8%, 54.4 ,,,
05-04-2020,CT-West,145,15,11.5%,8.7, 7.0 ,5.4%, 18.6 ,,,
06-04-2020,CT-West,147,2,1.4%,72.5, 6.7 ,4.6%, 21.8 , 5.9 ,4.0%, 24.8 
07-04-2020,CT-West,153,6,4.1%,24.5, 7.7 ,5.2%, 19.2 , 5.0 ,3.4%, 29.4 
08-04-2020,CT-West,161,8,5.2%,19.1, 5.3 ,3.5%, 28.7 , 5.4 ,3.5%, 28.2 
09-04-2020,CT-West,168,7,4.3%,23.0, 7.0 ,4.3%, 23.0 , 6.3 ,3.9%, 25.6 
10-04-2020,CT-West,173,5,3.0%,33.6, 6.7 ,4.0%, 25.2 , 6.6 ,3.9%, 25.6 
11-04-2020,CT-West,181,8,4.6%,21.6, 6.7 ,3.9%, 26.0 , 7.3 ,4.2%, 23.7 
12-04-2020,CT-West,186,5,2.8%,36.2, 6.0 ,3.3%, 30.2 , 5.9 ,3.2%, 30.9 
13-04-2020,CT-West,192,6,3.2%,31.0, 6.3 ,3.4%, 29.4 , 6.4 ,3.5%, 28.9 
14-04-2020,CT-West,202,10,5.2%,19.2, 7.0 ,3.6%, 27.4 , 7.0 ,3.6%, 27.4 
15-04-2020,CT-West,206,4,2.0%,50.5, 6.7 ,3.3%, 30.3 , 6.4 ,3.2%, 31.4 
16-04-2020,CT-West,209,3,1.5%,68.7, 5.7 ,2.8%, 36.4 , 5.9 ,2.8%, 35.2 
17-04-2020,CT-West,211,2,1.0%,104.5, 3.0 ,1.4%, 69.7 , 5.4 ,2.6%, 38.5 
18-04-2020,CT-West,222,11,5.2%,19.2, 5.3 ,2.5%, 39.6 , 5.9 ,2.8%, 36.0 
19-04-2020,CT-West,229,7,3.2%,31.7, 6.7 ,3.0%, 33.3 , 6.1 ,2.8%, 36.1 
20-04-2020,CT-West,241,12,5.2%,19.1, 10.0 ,4.4%, 22.9 , 7.0 ,3.1%, 32.7 
21-04-2020,CT-West,252,11,4.6%,21.9, 10.0 ,4.1%, 24.1 , 7.1 ,3.0%, 33.7 
22-04-2020,CT-West,266,14,5.6%,18.0, 12.3 ,4.9%, 20.4 , 8.6 ,3.4%, 29.4 
23-04-2020,CT-West,298,32,12.0%,8.3, 19.0 ,7.1%, 14.0 , 12.7 ,4.8%, 20.9 
24-04-2020,CT-West,312,14,4.7%,21.3, 20.0 ,6.7%, 14.9 , 14.4 ,4.8%, 20.7 
29-03-2020,CT-South,98,,,,,,,,,
31-03-2020,CT-South,104,6,6.1%,16.3,,,,,,
01-04-2020,CT-South,107,3,2.9%,34.7,,,,,,
02-04-2020,CT-South,110,3,2.8%,35.7, 4.0 ,3.7%, 26.8 ,,,
03-04-2020,CT-South,113,3,2.7%,36.7, 3.0 ,2.7%, 36.7 ,,,
04-04-2020,CT-South,116,3,2.7%,37.7, 3.0 ,2.7%, 37.7 ,,,
05-04-2020,CT-South,118,2,1.7%,58.0, 2.7 ,2.3%, 43.5 ,,,
06-04-2020,CT-South,119,1,0.8%,118.0, 2.0 ,1.7%, 59.0 , 3.0 ,2.5%, 39.3 
07-04-2020,CT-South,123,4,3.4%,29.8, 2.3 ,2.0%, 51.0 , 2.7 ,2.3%, 43.8 
